panel,cell,index,U,Y,tau,F
FLEX-INIT,12_to_12.NEW_EPOCH,241,0.7041666666666667,0.29557291666666663,40.0,0.26666666666666666
FLEX-INIT,12_to_12.NEW_EPOCH,242,0.7062500000000002,0.29947916666666685,40.0,0.2416666666666667
FLEX-INIT,12_to_12.NEW_EPOCH,243,0.6541666666666666,0.33854166666666674,40.0,0.2416666666666667
FLEX-INIT,12_to_12.NEW_EPOCH,244,0.7229166666666667,0.2851562499999999,40.0,0.225
FLEX-INIT,12_to_12.NEW_EPOCH,245,0.7395833333333333,0.2864583333333335,40.0,0.27499999999999997
FLEX-INIT,12_to_12.NEW_EPOCH,246,0.7145833333333333,0.28255208333333315,40.0,0.2583333333333333
FLEX-INIT,12_to_12.NEW_EPOCH,247,0.6437500000000002,0.3372395833333336,40.0,0.25833333333333336
FLEX-INIT,12_to_12.NEW_EPOCH,248,0.7166666666666667,0.29817708333333326,40.0,0.21666666666666665
FLEX-INIT,12_to_12.NEW_EPOCH,249,0.6854166666666666,0.3151041666666664,40.0,0.2333333333333333
FLEX-INIT,12_to_12.NEW_EPOCH,250,0.7125000000000001,0.2864583333333335,40.0,0.21666666666666665
FLEX-INIT,12_to_12.NEW_EPOCH,251,0.6624999999999999,0.33984374999999967,40.0,0.20833333333333331
FLEX-INIT,12_to_12.NEW_EPOCH,252,0.6604166666666668,0.31901041666666685,40.0,0.225
FLEX-INIT,12_to_12.NEW_EPOCH,253,0.6937499999999999,0.3203124999999999,40.0,0.25833333333333336
FLEX-INIT,12_to_12.NEW_EPOCH,254,0.6729166666666667,0.33333333333333337,40.0,0.32500000000000007
FLEX-INIT,12_to_12.NEW_EPOCH,255,0.70625,0.30338541666666663,40.0,0.2333333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,0,0.6333333333333333,0.3287760416666665,40.0,0.20833333333333331
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,1,0.7,0.298828125,40.0,0.29166666666666663
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,2,0.6541666666666668,0.3235677083333335,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,3,0.6625,0.3222656249999999,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,4,0.6687500000000001,0.3320312500000001,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,5,0.66875,0.3300781249999999,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,6,0.6416666666666667,0.30598958333333337,40.0,0.2833333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,7,0.675,0.2773437500000001,40.0,0.2833333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,8,0.6916666666666665,0.30794270833333304,40.0,0.27499999999999997
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,9,0.6916666666666665,0.30208333333333315,40.0,0.23333333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,10,0.6770833333333333,0.30143229166666663,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,11,0.6937500000000001,0.287109375,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,12,0.7229166666666665,0.25716145833333315,40.0,0.2166666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,13,0.6604166666666665,0.31380208333333326,40.0,0.23333333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,14,0.7020833333333334,0.27994791666666674,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,15,0.7041666666666666,0.29231770833333337,40.0,0.2416666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,16,0.6479166666666667,0.31770833333333326,40.0,0.2916666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,17,0.6291666666666667,0.37434895833333315,40.0,0.23333333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,18,0.7291666666666667,0.28059895833333337,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,19,0.6791666666666666,0.30598958333333326,40.0,0.2
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,20,0.6708333333333331,0.3190104166666664,40.0,0.275
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,21,0.7020833333333334,0.30729166666666674,40.0,0.2583333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,22,0.7020833333333333,0.2897135416666665,40.0,0.20833333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,23,0.7125000000000001,0.2910156250000002,40.0,0.2333333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,24,0.7020833333333334,0.31119791666666674,40.0,0.2333333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,25,0.7020833333333335,0.30924479166666685,40.0,0.275
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,26,0.6666666666666669,0.3040364583333335,40.0,0.25833333333333336
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,27,0.7187499999999999,0.271484375,40.0,0.2833333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,28,0.7145833333333333,0.2819010416666665,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,29,0.7,0.3124999999999999,40.0,0.26666666666666666
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,30,0.6791666666666665,0.30013020833333304,40.0,0.26666666666666666
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,31,0.7020833333333334,0.28776041666666674,40.0,0.2583333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,32,0.66875,0.310546875,40.0,0.25833333333333336
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,33,0.6458333333333333,0.35221354166666663,40.0,0.20833333333333331
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,34,0.6729166666666667,0.32552083333333315,40.0,0.175
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,35,0.6854166666666667,0.29427083333333337,40.0,0.30000000000000004
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,36,0.7145833333333332,0.2955729166666665,40.0,0.2416666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,37,0.7208333333333334,0.26432291666666685,40.0,0.2833333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,38,0.6499999999999998,0.3242187499999999,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,39,0.6750000000000002,0.3066406250000002,40.0,0.2833333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,40,0.6791666666666667,0.31184895833333326,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,41,0.6229166666666667,0.36067708333333337,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,42,0.6958333333333333,0.2838541666666665,40.0,0.2583333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,43,0.6916666666666667,0.30989583333333315,40.0,0.2583333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,44,0.6770833333333333,0.3307291666666664,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,45,0.6583333333333334,0.32291666666666674,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,46,0.6812500000000001,0.3164062500000001,40.0,0.23333333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,47,0.6645833333333334,0.33072916666666663,40.0,0.22499999999999995
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,48,0.6895833333333331,0.2955729166666664,40.0,0.2416666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,49,0.6499999999999999,0.3339843749999998,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,50,0.6666666666666667,0.32356770833333326,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,51,0.7166666666666666,0.26888020833333326,40.0,0.2416666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,52,0.675,0.302734375,40.0,0.25833333333333336
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,53,0.6895833333333335,0.31119791666666696,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,54,0.7458333333333333,0.28190104166666663,40.0,0.2
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,55,0.7000000000000001,0.2949218750000001,40.0,0.3
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,56,0.6979166666666666,0.30598958333333315,40.0,0.2666666666666666
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,57,0.7166666666666666,0.29231770833333326,40.0,0.2416666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,58,0.6729166666666667,0.30794270833333326,40.0,0.175
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,59,0.6791666666666667,0.30598958333333326,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,60,0.7124999999999998,0.2832031249999998,40.0,0.2583333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,61,0.7125000000000001,0.265625,40.0,0.2416666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,62,0.6895833333333333,0.30143229166666674,40.0,0.23333333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,63,0.675,0.3046875,40.0,0.20833333333333331
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,64,0.6708333333333334,0.30924479166666674,40.0,0.275
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,65,0.70625,0.271484375,40.0,0.29166666666666663
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,66,0.7083333333333333,0.2662760416666664,40.0,0.23333333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,67,0.6812500000000001,0.3027343750000001,40.0,0.27499999999999997
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,68,0.7020833333333333,0.27994791666666674,40.0,0.29166666666666663
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,69,0.6645833333333332,0.3444010416666665,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,70,0.7145833333333333,0.27799479166666663,40.0,0.2333333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,71,0.7041666666666668,0.2884114583333335,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,72,0.6916666666666667,0.28450520833333337,40.0,0.275
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,73,0.6833333333333333,0.32486979166666663,40.0,0.21666666666666665
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,74,0.7166666666666668,0.27864583333333337,40.0,0.29999999999999993
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,75,0.6895833333333334,0.29557291666666663,40.0,0.2333333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,76,0.6791666666666667,0.31184895833333337,40.0,0.275
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,77,0.6562500000000001,0.3027343750000002,40.0,0.19166666666666665
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,78,0.7020833333333332,0.3014322916666665,40.0,0.29166666666666663
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,79,0.7145833333333332,0.29557291666666663,40.0,0.2833333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,80,0.7104166666666667,0.30208333333333326,40.0,0.20833333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,81,0.6916666666666667,0.30208333333333337,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,82,0.675,0.3281249999999999,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,83,0.7020833333333335,0.27408854166666674,40.0,0.30000000000000004
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,84,0.6812499999999999,0.306640625,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,85,0.6958333333333331,0.3033854166666664,40.0,0.20833333333333331
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,86,0.71875,0.2617187499999999,40.0,0.25833333333333336
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,87,0.6916666666666668,0.30013020833333337,40.0,0.2416666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,88,0.6916666666666668,0.3020833333333335,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,89,0.7291666666666666,0.25520833333333326,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,90,0.7124999999999997,0.29296874999999967,40.0,0.275
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,91,0.6895833333333334,0.30338541666666674,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,92,0.6729166666666668,0.3020833333333336,40.0,0.23333333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,93,0.6937500000000001,0.27734375,40.0,0.25833333333333336
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,94,0.7083333333333333,0.2975260416666665,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,95,0.6916666666666667,0.29817708333333337,40.0,0.2416666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,96,0.7020833333333335,0.28580729166666696,40.0,0.2333333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,97,0.7291666666666666,0.27473958333333315,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,98,0.6979166666666666,0.31575520833333326,40.0,0.25833333333333336
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,99,0.6749999999999999,0.3281249999999999,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,100,0.6916666666666667,0.29427083333333337,40.0,0.2666666666666666
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,101,0.6458333333333333,0.31119791666666663,40.0,0.2666666666666666
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,102,0.6895833333333334,0.33072916666666674,40.0,0.2666666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,103,0.6645833333333334,0.32291666666666685,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,104,0.6708333333333335,0.31119791666666674,40.0,0.2833333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,105,0.6541666666666666,0.33919270833333315,40.0,0.2
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,106,0.7145833333333333,0.30338541666666663,40.0,0.25833333333333336
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,107,0.6687500000000001,0.34375,40.0,0.20833333333333331
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,108,0.6875,0.2949218749999999,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,109,0.6895833333333334,0.28190104166666663,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,110,0.6541666666666668,0.31770833333333337,40.0,0.18333333333333335
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,111,0.6708333333333332,0.3151041666666664,40.0,0.23333333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,112,0.7250000000000001,0.298828125,40.0,0.2583333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,113,0.6520833333333332,0.2858072916666665,40.0,0.2833333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,114,0.6916666666666667,0.31966145833333337,40.0,0.2333333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,115,0.7041666666666667,0.27278645833333326,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,116,0.6708333333333332,0.3111979166666665,40.0,0.20833333333333331
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,117,0.7187499999999999,0.2968749999999999,40.0,0.21666666666666665
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,118,0.7354166666666667,0.25716145833333337,40.0,0.3083333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,119,0.6562499999999999,0.3359374999999999,40.0,0.275
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,120,0.6812499999999999,0.3066406249999999,40.0,0.27499999999999997
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,121,0.6458333333333334,0.32096354166666663,40.0,0.2166666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,122,0.6958333333333335,0.31510416666666674,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,123,0.6416666666666664,0.32942708333333304,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,124,0.7,0.296875,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,125,0.6916666666666669,0.3040364583333337,40.0,0.22500000000000003
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,126,0.7229166666666665,0.30013020833333304,40.0,0.18333333333333332
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,127,0.6937499999999999,0.2832031249999998,40.0,0.29166666666666663
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,128,0.7104166666666667,0.28059895833333326,40.0,0.22499999999999995
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,129,0.6979166666666666,0.31575520833333337,40.0,0.26666666666666666
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,130,0.6812500000000001,0.296875,40.0,0.2833333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,131,0.7041666666666668,0.2962239583333335,40.0,0.30833333333333335
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,132,0.7312500000000001,0.3183593750000002,40.0,0.29166666666666663
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,133,0.6687500000000003,0.3027343750000002,40.0,0.2666666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,134,0.7187500000000002,0.2675781250000001,40.0,0.21666666666666665
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,135,0.6708333333333333,0.32096354166666663,40.0,0.22499999999999995
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,136,0.6791666666666667,0.3196614583333335,40.0,0.23333333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,137,0.6770833333333333,0.3190104166666664,40.0,0.21666666666666665
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,138,0.6875,0.3046874999999999,40.0,0.2416666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,139,0.6687499999999998,0.31835937499999967,40.0,0.2416666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,140,0.74375,0.2656249999999999,40.0,0.2416666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,141,0.7041666666666666,0.28059895833333326,40.0,0.2333333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,142,0.6687500000000003,0.3203125000000002,40.0,0.27499999999999997
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,143,0.7229166666666664,0.25716145833333304,40.0,0.26666666666666666
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,144,0.6854166666666667,0.2923177083333335,40.0,0.2916666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,145,0.6625000000000001,0.3203125000000001,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,146,0.6854166666666666,0.31380208333333326,40.0,0.2916666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,147,0.7020833333333333,0.27799479166666685,40.0,0.26666666666666666
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,148,0.6770833333333335,0.31315104166666685,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,149,0.7229166666666667,0.26106770833333315,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,150,0.6833333333333332,0.30143229166666663,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,151,0.6833333333333333,0.33072916666666685,40.0,0.25833333333333336
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,152,0.6520833333333333,0.3190104166666665,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,153,0.64375,0.3457031250000001,40.0,0.29999999999999993
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,154,0.6874999999999999,0.28125,40.0,0.27499999999999997
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,155,0.7270833333333332,0.25846354166666663,40.0,0.26666666666666666
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,156,0.6979166666666667,0.29817708333333326,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,157,0.6770833333333333,0.30924479166666663,40.0,0.26666666666666666
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,158,0.6958333333333334,0.29361979166666663,40.0,0.19166666666666665
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,159,0.7229166666666668,0.2825520833333335,40.0,0.29166666666666663
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,160,0.6833333333333333,0.31119791666666663,40.0,0.24999999999999994
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,161,0.7270833333333334,0.27604166666666663,40.0,0.25833333333333336
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,162,0.6583333333333333,0.31119791666666663,40.0,0.2666666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,163,0.6791666666666668,0.31380208333333337,40.0,0.24999999999999994
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,164,0.6729166666666666,0.30013020833333326,40.0,0.22499999999999995
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,165,0.6666666666666667,0.33138020833333337,40.0,0.25833333333333336
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,166,0.70625,0.2792968749999999,40.0,0.25833333333333336
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,167,0.7187500000000001,0.275390625,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,168,0.7041666666666668,0.2884114583333335,40.0,0.2333333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,169,0.7229166666666667,0.27083333333333337,40.0,0.27499999999999997
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,170,0.7125000000000001,0.2734375,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,171,0.6854166666666669,0.3118489583333336,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,172,0.69375,0.2988281249999999,40.0,0.275
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,173,0.6874999999999999,0.2753906249999999,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,174,0.6916666666666667,0.28841145833333315,40.0,0.25833333333333336
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,175,0.675,0.3164062499999999,40.0,0.19166666666666665
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,176,0.6729166666666666,0.31770833333333315,40.0,0.175
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,177,0.7145833333333333,0.27994791666666663,40.0,0.275
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,178,0.6458333333333335,0.33658854166666674,40.0,0.29166666666666663
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,179,0.7270833333333333,0.27408854166666674,40.0,0.18333333333333332
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,180,0.6854166666666668,0.27473958333333337,40.0,0.24999999999999994
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,181,0.7041666666666664,0.30013020833333304,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,182,0.6729166666666667,0.29231770833333337,40.0,0.29166666666666663
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,183,0.6979166666666665,0.31184895833333326,40.0,0.20833333333333331
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,184,0.6624999999999999,0.3242187499999998,40.0,0.25000000000000006
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,185,0.7166666666666668,0.26692708333333337,40.0,0.30000000000000004
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,186,0.6645833333333331,0.3111979166666664,40.0,0.2833333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,187,0.66875,0.310546875,40.0,0.2416666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,188,0.7020833333333333,0.29166666666666663,40.0,0.22499999999999995
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,189,0.7354166666666668,0.2786458333333335,40.0,0.26666666666666666
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,190,0.675,0.2949218750000001,40.0,0.22499999999999995
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,191,0.6812499999999999,0.296875,40.0,0.2833333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,192,0.6958333333333333,0.34440104166666663,40.0,0.2916666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,193,0.69375,0.3242187499999999,40.0,0.2666666666666666
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,194,0.6979166666666666,0.30013020833333326,40.0,0.25000000000000006
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,195,0.6854166666666666,0.30989583333333315,40.0,0.2583333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,196,0.6645833333333333,0.30924479166666663,40.0,0.25833333333333336
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,197,0.6687500000000002,0.32617187500000033,40.0,0.24999999999999994
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,198,0.6874999999999999,0.3105468749999998,40.0,0.2916666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,199,0.6791666666666667,0.30403645833333326,40.0,0.26666666666666666
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,200,0.7145833333333333,0.29166666666666674,40.0,0.27499999999999997
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,201,0.6708333333333332,0.30924479166666674,40.0,0.2416666666666667
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,202,0.7208333333333334,0.28385416666666674,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,203,0.68125,0.28515624999999967,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,204,0.6854166666666668,0.30208333333333337,40.0,0.23333333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,205,0.7041666666666666,0.28645833333333315,40.0,0.2833333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,206,0.7104166666666667,0.28255208333333326,40.0,0.25
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,207,0.7229166666666667,0.25911458333333337,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,208,0.6479166666666667,0.32161458333333337,40.0,0.2
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,209,0.7166666666666666,0.28255208333333326,40.0,0.225
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,210,0.7229166666666665,0.26888020833333337,40.0,0.23333333333333334
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,211,0.6791666666666667,0.3430989583333335,40.0,0.24166666666666664
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,212,0.6791666666666667,0.30989583333333326,40.0,0.2833333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,213,0.6375000000000001,0.3496093750000001,40.0,0.2583333333333333
FLEX-INIT,8_to_12.ACTIVE_CONTINUATION,214,0.6833333333333333,0.28580729166666674,40.0,0.23333333333333334
